query_id	subject_id	length	nident	pident	evalue	genome
EFB_0058	NZ_CP094997.1_687	167	61	36.5	1.44e-21	GCF_022869785.1
EFB_0058	NZ_CM148639.1_2592	190	68	35.8	1.08e-22	GCF_056134185.1
EFB_0058	NZ_CM148639.1_2576	203	68	33.5	1.47e-20	GCF_056134185.1
EFB_0058	NZ_CM148639.1_2048	203	68	33.5	1.19e-19	GCF_056134185.1
EFB_0058	NZ_CP060497.1_4791	189	68	36.0	5.18e-21	GCF_014334135.1
EFB_0058	NZ_CP103239.1_34	168	56	33.3	5.77e-15	GCF_024759965.1
EFB_0058	NZ_CP103120.1_64	202	66	32.7	2.78e-19	GCF_024759205.1
EFB_0058	NZ_CP041397.1_40	168	56	33.3	4.54e-15	GCF_007012325.1
EFB_0058	NZ_OZ040189.1_1129	146	46	31.5	4.27e-11	GCF_964048965.1
EFB_0058	NZ_CP056032.1_1479	196	67	34.2	2.67e-22	GCF_013375035.1
EFB_0058	NZ_CP056032.1_2456	188	64	34.0	1.44e-21	GCF_013375035.1
EFB_0058	NZ_OZ409824.1_4444	190	60	31.6	9.01e-16	GCF_979258025.1
EFB_0058	NZ_CP095185.1_913	187	59	31.6	1.81e-19	GCF_022965695.1
EFB_0058	NZ_CP022515.1_1908	143	43	30.1	2.16e-12	GCF_002234495.1
EFB_0058	NZ_CP090557.1_2333	189	60	31.7	7.30e-20	GCF_021484805.1
EFB_0058	NZ_CP037428.1_31	192	63	32.8	1.90e-17	GCF_004337635.1
EFB_0058	NZ_CP119422.1_4035	191	66	34.6	1.30e-22	GCF_030506285.1
EFB_0058	NZ_CP119422.1_4785	191	65	34.0	1.16e-19	GCF_030506285.1
EFB_0058	NZ_CP072211.1_66	175	58	33.1	4.35e-19	GCF_018288975.1
EFB_0058	NC_018743.1_18	189	68	36.0	3.81e-23	GCF_000263195.1
EFB_0058	NZ_CM148636.1_1969	203	65	32.0	1.73e-17	GCF_056134105.1
EFB_0058	NC_015165.1_55	171	59	34.5	3.57e-16	GCF_000190575.1
EFB_0058	NC_015164.1_949	198	61	30.8	5.90e-09	GCF_000190575.1
EFB_0058	NZ_CP033929.1_1645	190	67	35.3	6.07e-22	GCF_003815915.1
EFB_0058	NC_014230.1_846	146	51	34.9	1.49e-13	GCF_000196315.1
EFB_0058	NZ_CP050063.1_4011	196	69	35.2	6.53e-24	GCF_011604685.1
EFB_0058	NZ_CP050063.1_5039	188	69	36.7	9.52e-23	GCF_011604685.1
EFB_0058	NZ_CP072339.1_1083	108	34	31.5	1.14e-08	GCF_018127825.1
EFB_0058	NZ_OY997410.1_933	35	20	57.1	5.05e-06	GCF_963921705.1
EFB_0058	NZ_OY997410.1_2128	32	17	53.1	8.45e-05	GCF_963921705.1
EFB_0058	NC_015144.1_1990	73	24	32.9	1.36e-04	GCF_000189415.1
EFB_0058	NZ_CP081919.1_25	168	56	33.3	6.12e-15	GCF_020091525.1
EFB_0058	NZ_CP139137.1_3723	190	66	34.7	1.75e-20	GCF_034047335.1
EFB_0058	NZ_CP159476.1_3559	199	60	30.2	4.12e-17	GCF_042140175.1
EFB_0058	NZ_CP032820.1_45	168	56	33.3	4.33e-15	GCF_003991565.1
EFB_0058	NZ_CP032819.1_2676	88	30	34.1	2.07e-05	GCF_003991565.1
EFB_0058	NZ_CP036556.1_11	168	56	33.3	3.24e-15	GCF_005706655.1
EFB_0058	NZ_CP020104.1_6049	188	69	36.7	4.04e-17	GCF_002056795.1
EFB_0058	NZ_CP072256.1_46	168	56	33.3	3.08e-15	GCF_018292165.1
EFB_0058	NZ_AP019726.1_101	175	58	33.1	4.07e-19	GCF_006742345.1
EFB_0058	NZ_OZ257252.1_1794	152	58	38.2	6.49e-19	GCF_965279615.1
EFB_0058	NZ_OZ257252.1_2600	148	48	32.4	4.21e-14	GCF_965279615.1
EFB_0058	NZ_CP065589.1_4697	188	62	33.0	1.79e-18	GCF_021278965.1
EFB_0058	NZ_LR215967.1_3003	187	59	31.6	1.76e-17	GCF_900683405.1
EFB_0058	NZ_CP034173.1_1083	163	53	32.5	9.90e-18	GCF_003860545.1
EFB_0058	NZ_CP073240.1_28	186	61	32.8	1.86e-20	GCF_009670965.2
EFB_0058	NZ_CP131534.1_2732	175	58	33.1	4.62e-19	GCF_040687795.1
EFB_0058	NZ_LT906459.1_3027	179	56	31.3	3.10e-15	GCF_900187175.1
EFB_0058	NZ_CM143117.1_26	170	58	34.1	3.20e-14	GCF_054953255.1
EFB_0058	NZ_CP037921.1_128	200	60	30.0	1.22e-15	GCF_004355185.1
EFB_0058	NZ_OZ409839.1_291	190	60	31.6	1.00e-15	GCF_979258145.1
EFB_0058	NZ_CP111121.1_2321	190	69	36.3	5.08e-22	GCF_026314945.1
EFB_0058	NZ_CP111121.1_4688	190	65	34.2	2.05e-20	GCF_026314945.1
EFB_0058	NZ_CP103142.1_68	168	56	33.3	6.08e-15	GCF_024759405.1
EFB_0058	NZ_CP095848.1_921	32	18	56.3	2.00e-06	GCF_023101345.1
EFB_0058	NZ_CP133672.1_29	166	59	35.5	1.51e-20	GCF_031326345.1
EFB_0058	NZ_OX596083.1_2011	170	58	34.1	5.08e-15	GCF_927611525.1
EFB_0058	NZ_OX579588.1_1148	73	25	34.2	7.50e-04	GCF_951229915.1
EFB_0058	NZ_CP077754.1_1561	170	58	34.1	3.21e-14	GCF_022221505.1
EFB_0058	NZ_AP027044.1_6	194	59	30.4	1.16e-16	GCF_027924665.1
EFB_0058	NZ_CP198980.1_1218	170	58	34.1	3.09e-14	GCF_052368395.1
EFB_0058	NZ_CP095413.1_4591	79	32	40.5	2.79e-11	GCF_023016285.1
EFB_0058	NZ_CP095061.1_466	185	63	34.1	1.55e-20	GCF_022921055.1
EFB_0058	NZ_CP095070.1_101	200	64	32.0	1.61e-17	GCF_022921055.1
EFB_0058	NZ_CP072225.1_57	168	56	33.3	5.85e-15	GCF_018289275.1
EFB_0058	NZ_CP092371.1_13	187	59	31.6	3.02e-17	GCF_028473145.1
EFB_0058	NZ_CP147988.1_151	143	50	35.0	9.03e-13	GCF_037478105.1
EFB_0058	NZ_CP072364.1_55	81	30	37.0	1.62e-05	GCF_018128085.1
EFB_0058	NZ_CP103198.1_29	180	58	32.2	2.88e-19	GCF_024759565.1
EFB_0058	NZ_CP103197.1_3965	141	48	34.0	3.28e-07	GCF_024759565.1
EFB_0058	NZ_CP114285.2_1622	143	46	32.2	1.07e-10	GCF_027111255.2
EFB_0058	NZ_CP036547.1_7	180	58	32.2	8.83e-17	GCF_000710365.2
EFB_0058	NZ_CP117880.1_2580	190	62	32.6	1.30e-19	GCF_028736175.1
EFB_0058	NZ_CP117880.1_461	80	35	43.8	3.42e-14	GCF_028736175.1
EFB_0058	NZ_CP114291.2_1402	73	23	31.5	5.65e-04	GCF_027111355.2
EFB_0058	NZ_CP059732.1_7323	186	67	36.0	7.16e-24	GCF_014117325.1
EFB_0058	NZ_CP121110.1_2206	144	47	32.6	9.05e-09	GCF_029625315.1
EFB_0058	NZ_CP114770.1_15	200	63	31.5	8.77e-18	GCF_027359925.1
EFB_0058	NZ_CP114768.1_271	196	60	30.6	1.25e-17	GCF_027359925.1
EFB_0058	NZ_OZ245719.1_3927	186	67	36.0	1.95e-20	GCF_965227055.1
EFB_0058	NZ_CP041231.1_46	168	56	33.3	4.08e-15	GCF_006546965.1
EFB_0058	NZ_CM143123.1_4	170	58	34.1	3.20e-14	GCF_054953385.1
EFB_0058	NZ_CP072215.1_65	175	58	33.1	5.56e-19	GCF_018289035.1
EFB_0058	NZ_CP072214.1_57	168	56	33.3	5.91e-15	GCF_018289035.1
EFB_0058	NZ_CP023402.1_2492	170	55	32.4	6.31e-12	GCF_000240095.2
EFB_0058	NZ_CP081921.1_16	168	56	33.3	3.22e-15	GCF_020091565.1
EFB_0058	NZ_CP152355.1_11	180	63	35.0	4.03e-21	GCF_019249755.2
EFB_0058	NZ_CP045613.1_28	168	56	33.3	4.12e-15	GCF_016864215.1
EFB_0058	NZ_CP125998.1_31	192	63	32.8	1.89e-17	GCF_030077565.1
EFB_0058	NZ_CP177162.1_178	190	67	35.3	1.69e-21	GCF_046735985.1
EFB_0058	NZ_CP147519.1_246	162	59	36.4	1.57e-19	GCF_037201965.1
EFB_0058	NZ_CP015067.2_2811	188	60	31.9	3.62e-17	GCF_001618505.2
EFB_0058	NZ_CP077751.1_1550	170	58	34.1	3.20e-14	GCF_022221445.1
EFB_0058	NZ_CM148691.1_2173	170	59	34.7	6.83e-15	GCF_056135805.1
EFB_0058	NZ_CM148644.1_1904	203	67	33.0	6.30e-19	GCF_056134345.1
EFB_0058	NZ_CP135989.1_1589	146	44	30.1	5.04e-10	GCF_032463465.1
EFB_0058	NZ_CP192719.1_422	101	34	33.7	1.61e-04	GCF_050703285.1
EFB_0058	NZ_CP196751.1_25	180	59	32.8	4.76e-17	GCF_051905015.1
EFB_0058	NZ_CP119421.1_389	190	63	33.2	9.14e-20	GCF_030506305.1
EFB_0058	NZ_CP119421.1_4157	190	63	33.2	9.14e-20	GCF_030506305.1
EFB_0058	NZ_CP146517.1_1449	81	30	37.0	1.84e-05	GCF_051861795.1
EFB_0058	NZ_CP071550.1_1927	170	59	34.7	1.19e-14	GCF_024205025.1
EFB_0058	NZ_CP116008.1_362	190	65	34.2	7.69e-20	GCF_027941895.1
EFB_0058	NZ_CP116008.1_1879	189	59	31.2	9.40e-17	GCF_027941895.1
EFB_0058	NZ_CP104203.1_3094	187	60	32.1	8.38e-17	GCF_025244725.1
EFB_0058	NZ_CP193656.1_3122	151	62	41.1	4.75e-21	GCF_050847115.1
EFB_0058	NZ_CP118631.1_3908	188	64	34.0	3.67e-19	GCF_028993635.1
EFB_0058	NZ_CP066883.1_3499	189	67	35.4	6.27e-22	GCF_016598555.1
EFB_0058	NZ_CP023010.2_125	170	58	34.1	3.15e-14	GCF_002277995.2
EFB_0058	NZ_CP115859.1_449	168	53	31.5	2.35e-17	GCF_027920545.1
EFB_0058	NZ_CP182581.1_3915	149	57	38.3	3.31e-19	GCF_048296755.1
EFB_0058	NZ_CP094669.1_3042	185	60	32.4	6.39e-18	GCF_022827545.1
EFB_0058	NZ_CP094675.1_11	185	58	31.4	8.50e-17	GCF_022827545.1
EFB_0058	NZ_CP050995.1_2795	187	59	31.6	2.10e-17	GCF_012273615.1
EFB_0058	NZ_CP025096.1_7202	194	59	30.4	6.72e-17	GCF_002831565.1
EFB_0058	NZ_CP115636.1_1897	188	61	32.4	3.81e-18	GCF_024123775.1
EFB_0058	NZ_CP006587.1_4143	164	56	34.1	2.38e-17	GCF_000737515.1
EFB_0058	NZ_CP006587.1_4083	48	22	45.8	5.40e-08	GCF_000737515.1
EFB_0058	NZ_CP014805.2_2812	188	60	31.9	3.69e-17	GCF_001596175.2
EFB_0058	NZ_CP085529.1_447	187	59	31.6	1.69e-17	GCF_020683005.1
EFB_0058	NZ_CP072228.1_65	175	58	33.1	4.15e-19	GCF_018289295.1
EFB_0058	NZ_CP072241.1_65	175	58	33.1	4.47e-19	GCF_018291785.1
EFB_0058	NZ_CP198981.1_3538	170	58	34.1	3.09e-14	GCF_052368665.1
EFB_0058	NZ_CP012937.1_4153	141	48	34.0	3.97e-07	GCF_001314975.1
EFB_0058	NZ_CP081911.1_5	168	56	33.3	3.27e-15	GCF_020091465.1
EFB_0058	NZ_CP081912.1_1308	141	48	34.0	5.83e-07	GCF_020091465.1
EFB_0058	NZ_CP072245.1_71	175	58	33.1	5.53e-19	GCF_018292045.1
EFB_0058	NZ_CP141186.1_46	185	62	33.5	2.54e-19	GCF_035609205.1
EFB_0058	NZ_CP197400.1_1022	198	64	32.3	3.79e-17	GCF_052161805.1
EFB_0058	NZ_CP123860.1_5187	166	61	36.7	1.85e-18	GCF_029909495.1
EFB_0058	NZ_CP103067.1_3024	141	48	34.0	5.42e-07	GCF_024758205.1
EFB_0058	NZ_CP048222.1_580	185	66	35.7	4.91e-22	GCF_010119975.1
EFB_0058	NZ_CP048222.1_72	200	61	30.5	3.32e-17	GCF_010119975.1
EFB_0058	NZ_CP032318.1_38	66	31	47.0	4.93e-15	GCF_003574965.1
EFB_0058	NZ_CP023403.1_2492	170	55	32.4	6.31e-12	GCF_002310535.1
EFB_0058	NZ_CP146522.1_25	180	63	35.0	7.27e-21	GCF_051861805.1
EFB_0058	NZ_CP198979.1_298	170	58	34.1	3.09e-14	GCF_052368345.1
EFB_0058	NZ_CP096966.1_81	176	59	33.5	3.10e-17	GCF_024022975.1
EFB_0058	NZ_CP096967.1_47	168	56	33.3	3.17e-15	GCF_024022975.1
EFB_0058	NZ_CP096965.1_3076	141	48	34.0	3.12e-07	GCF_024022975.1
EFB_0058	NZ_CP125988.1_31	192	63	32.8	1.89e-17	GCF_030144685.1
EFB_0058	NZ_CP039929.1_1210	190	68	35.8	8.67e-23	GCF_005234115.1
EFB_0058	NZ_CP081905.1_52	175	58	33.1	5.77e-19	GCF_020091425.1
EFB_0058	NZ_CP049908.1_216	199	64	32.2	4.51e-18	GCF_011305775.1
EFB_0058	NZ_CP049908.1_22	200	60	30.0	1.27e-15	GCF_011305775.1
EFB_0058	NZ_CP063145.1_214	163	56	34.4	3.97e-19	GCF_014961145.1
EFB_0058	NZ_CP016373.1_1186	170	58	34.1	3.09e-14	GCF_002022065.1
EFB_0058	NZ_CP011318.1_3171	149	54	36.2	3.90e-13	GCF_001865655.1
EFB_0058	NZ_CP072342.1_349	81	30	37.0	1.35e-05	GCF_018127865.1
EFB_0058	NZ_CP130738.1_396	33	18	54.5	2.05e-05	GCF_030553095.1
EFB_0058	NZ_AP026869.1_1	166	58	34.9	6.20e-20	GCF_026000115.1
EFB_0058	NZ_AP026867.1_1886	69	28	40.6	8.27e-04	GCF_026000115.1
EFB_0058	NZ_CP033918.1_3009	81	33	40.7	1.10e-14	GCF_003815675.1
EFB_0058	NZ_CP083624.1_5	89	35	39.3	5.18e-13	GCF_020097275.1
EFB_0058	NZ_CP143953.1_11	175	58	33.1	4.36e-19	GCF_036419465.1
EFB_0058	NZ_CP053911.1_47	199	60	30.2	3.15e-16	GCF_013256625.1
EFB_0058	NZ_CP033922.1_2189	187	60	32.1	1.93e-17	GCF_003815715.1
EFB_0058	NZ_CP089538.1_2188	190	70	36.8	1.08e-22	GCF_021233055.1
EFB_0058	NZ_CP089538.1_2080	194	69	35.6	4.48e-22	GCF_021233055.1
EFB_0058	NZ_CP089538.1_2137	188	66	35.1	1.41e-19	GCF_021233055.1
EFB_0058	NZ_CP073276.1_2464	32	17	53.1	9.15e-05	GCF_038561985.1
EFB_0058	NZ_CP096247.1_804	186	66	35.5	1.93e-22	GCF_023204875.1
EFB_0058	NZ_CP096247.1_802	186	58	31.2	4.16e-20	GCF_023204875.1
EFB_0058	NC_013730.1_3615	193	66	34.2	1.03e-19	GCF_000024525.1
EFB_0058	NZ_CP044017.1_4	190	62	32.6	2.05e-19	GCF_004337365.2
EFB_0058	NZ_AP029022.1_2397	187	58	31.0	1.54e-18	GCF_037076545.1
EFB_0058	NZ_CP033926.1_4156	190	68	35.8	3.58e-22	GCF_003815775.1
EFB_0058	NZ_CP023404.1_2492	170	55	32.4	6.31e-12	GCF_002310515.1
EFB_0058	NZ_CP069277.1_2736	170	58	34.1	3.05e-14	GCF_016838625.1
EFB_0058	NZ_CP081907.1_71	175	58	33.1	4.55e-19	GCF_020091445.1
EFB_0058	NZ_OZ409872.1_864	194	66	34.0	9.20e-16	GCF_979258665.1
EFB_0058	NC_010830.1_96	186	58	31.2	4.47e-16	GCF_000020565.1
EFB_0058	NZ_CP030851.1_38	194	62	32.0	8.75e-18	GCF_003325355.1
EFB_0058	NZ_CP030854.1_24	194	62	32.0	9.41e-18	GCF_003325355.1
EFB_0058	NZ_CP030855.1_7	194	61	31.4	1.36e-17	GCF_003325355.1
EFB_0058	NZ_CP192720.1_989	110	41	37.3	1.59e-13	GCF_050703345.1
EFB_0058	NZ_OX030782.1_4031	185	57	30.8	4.56e-12	GCF_943733665.1
EFB_0058	NZ_CP176634.1_955	97	32	33.0	2.13e-06	GCF_046603865.1
EFB_0058	NC_018721.1_2207	190	57	30.0	5.42e-16	GCF_000153485.2
EFB_0058	NZ_CP022986.1_839	190	69	36.3	3.21e-22	GCF_002770595.1
EFB_0058	NZ_CP182860.1_2470	81	31	38.3	8.66e-05	GCF_048319845.1
EFB_0058	NZ_JBQSUP010000001.1_8	186	60	32.3	7.29e-21	GCF_052384455.1
EFB_0058	NC_006873.1_1	168	56	33.3	3.24e-15	GCF_000025985.1
EFB_0058	NZ_CP120354.1_30	175	58	33.1	2.44e-19	GCF_029369685.1
EFB_0058	NZ_CP120354.1_51	175	58	33.1	4.50e-19	GCF_029369685.1
EFB_0058	NZ_CM143116.1_2358	170	58	34.1	3.20e-14	GCF_054953245.1
EFB_0058	NZ_CM148693.1_3034	188	60	31.9	1.98e-17	GCF_056135825.1
EFB_0058	NZ_CP015066.2_2815	188	60	31.9	3.69e-17	GCF_001618465.2
EFB_0058	NZ_AP042451.1_1962	32	17	53.1	9.37e-05	GCF_055397615.1
EFB_0058	NZ_CP094932.1_9	190	67	35.3	2.73e-21	GCF_025340125.1
EFB_0058	NZ_OX596084.1_1586	170	58	34.1	3.22e-14	GCF_927611535.1
EFB_0058	NZ_OX596081.1_1366	170	57	33.5	1.62e-13	GCF_927611585.1
EFB_0058	NZ_CP023642.1_3893	143	47	32.9	4.64e-11	GCF_003590565.1
EFB_0058	NZ_CP103375.1_2742	180	57	31.7	1.76e-19	GCF_024799845.1
EFB_0058	NZ_CP119604.1_68	180	58	32.2	1.23e-16	GCF_040142595.1
EFB_0058	NZ_CP059973.1_2285	141	48	34.0	3.56e-07	GCF_009193295.2
EFB_0058	NZ_CM148686.1_2652	170	57	33.5	1.75e-13	GCF_056135645.1
EFB_0058	NZ_CP072250.1_17	176	59	33.5	3.52e-17	GCF_018292105.1
EFB_0058	NZ_CP072249.1_47	168	56	33.3	5.01e-15	GCF_018292105.1
EFB_0058	NZ_CP029145.1_1026	36	21	58.3	1.37e-06	GCF_003149515.1
EFB_0058	NZ_CP143950.1_104	175	58	33.1	4.39e-19	GCF_036419355.1
EFB_0058	NZ_OX596082.1_1365	170	57	33.5	1.62e-13	GCF_951394135.1
EFB_0058	NZ_CP075682.1_3067	190	67	35.3	9.79e-22	GCF_018603435.1
EFB_0058	NZ_CP016374.1_1672	188	60	31.9	7.53e-18	GCF_002022085.1
