blast_hit_id	hit_contig_orf	downstream_orf	strand	gap_bp
NZ_CM148639.1_2048	NZ_CM148639.1_2178787-2189382:._6	NZ_CM148639.1_2178787-2189382:._7	1	80
NZ_CM148639.1_2592	NZ_CM148639.1_2745888-2756492:._10	NZ_CM148639.1_2745888-2756492:._9	-1	40
NZ_CP060497.1_4791	NZ_CP060497.1_5609736-5620304:._6	NZ_CP060497.1_5609736-5620304:._5	-1	32
NZ_CP056032.1_1479	NZ_CP056032.1_1770823-1781409:._6	NZ_CP056032.1_1770823-1781409:._7	1	21
NZ_CP056032.1_2456	NZ_CP056032.1_3024565-3035151:._4	NZ_CP056032.1_3024565-3035151:._5	1	2
NZ_CP037428.1_31	NZ_CP037428.1_20809-31371:._9	NZ_CP037428.1_20809-31371:._10	1	56
NC_018743.1_18	NC_018743.1_17897-28507:._5	NC_018743.1_17897-28507:._6	1	12
NZ_CP033929.1_1645	NZ_CP033929.1_1742755-1753359:._6	NZ_CP033929.1_1742755-1753359:._5	-1	71
NC_014230.1_846	NC_014230.1_965027-975640:._10	NC_014230.1_965027-975640:._9	-1	-3
NZ_CP050063.1_4011	NZ_CP050063.1_5052396-5062973:._5	NZ_CP050063.1_5052396-5062973:._4	-1	25
NZ_CP050063.1_5039	NZ_CP050063.1_6370496-6381115:._7	NZ_CP050063.1_6370496-6381115:._6	-1	33
NC_015144.1_1990	NC_015144.1_2100312-2110919:._5	NC_015144.1_2100312-2110919:._6	1	51
NZ_CP159476.1_3559	NZ_CP159476.1_3963034-3973641:._6	NZ_CP159476.1_3963034-3973641:._7	1	37
NZ_OZ257252.1_2600	NZ_OZ257252.1_3003352-3013911:._5	NZ_OZ257252.1_3003352-3013911:._6	1	6
NZ_CP065589.1_4697	NZ_CP065589.1_4744455-4755017:._7	NZ_CP065589.1_4744455-4755017:._8	1	60
NZ_CP073240.1_28	NZ_CP073240.1_22748-33310:._6	NZ_CP073240.1_22748-33310:._7	1	42
NZ_CP111121.1_4688	NZ_CP111121.1_4947174-4957778:._4	NZ_CP111121.1_4947174-4957778:._5	1	71
NZ_CP133672.1_29	NZ_CP133672.1_35799-46355:._5	NZ_CP133672.1_35799-46355:._4	-1	62
NZ_CP072364.1_55	NZ_CP072364.1_68924-79300:._7	NZ_CP072364.1_68924-79300:._8	1	-3
NZ_CP114285.2_1622	NZ_CP114285.2_2034346-2044935:._8	NZ_CP114285.2_2034346-2044935:._9	1	46
NZ_CP072214.1_65	NZ_CP072214.1_51842-62437:._5	NZ_CP072214.1_51842-62437:._6	1	13
NZ_CP152355.1_11	NZ_CP152355.1_5086-14492:._5	NZ_CP152355.1_5086-14492:._6	1	37
NZ_CP125998.1_31	NZ_CP125998.1_20809-31371:._9	NZ_CP125998.1_20809-31371:._10	1	56
NZ_CP147519.1_246	NZ_CP147519.1_306556-317139:._6	NZ_CP147519.1_306556-317139:._5	-1	-3
NZ_CP015067.2_2811	NZ_CP015067.2_3107290-3117846:._5	NZ_CP015067.2_3107290-3117846:._6	1	78
NZ_CP192719.1_422	NZ_CP192719.1_483286-494961:._5	NZ_CP192719.1_483286-494961:._6	1	60
NZ_CP146517.1_1449	NZ_CP146517.1_1634569-1644945:._5	NZ_CP146517.1_1634569-1644945:._6	1	-3
NZ_CP116008.1_362	NZ_CP116008.1_388998-399602:._10	NZ_CP116008.1_388998-399602:._9	-1	76
NZ_CP104203.1_3094	NZ_CP104203.1_3298143-3308708:._5	NZ_CP104203.1_3298143-3308708:._6	1	19
NZ_CP118631.1_3908	NZ_CP118631.1_4648428-4659014:._7	NZ_CP118631.1_4648428-4659014:._6	-1	6
NZ_CP066883.1_3499	NZ_CP066883.1_3742481-3753091:._6	NZ_CP066883.1_3742481-3753091:._7	1	20
NZ_CP115859.1_449	NZ_CP115859.1_474741-485300:._6	NZ_CP115859.1_474741-485300:._7	1	11
NZ_CP006587.1_4143	NZ_CP006587.1_4827107-4837720:._5	NZ_CP006587.1_4827107-4837720:._6	1	56
NZ_CP014805.2_2812	NZ_CP014805.2_3107290-3117846:._5	NZ_CP014805.2_3107290-3117846:._6	1	78
NZ_CP012937.1_4153	NZ_CP012937.1_5202558-5214371:._8	NZ_CP012937.1_5202558-5214371:._9	1	49
NZ_CP123860.1_5187	NZ_CP123860.1_6049507-6060096:._9	NZ_CP123860.1_6049507-6060096:._10	1	12
NZ_CP103067.1_3024	NZ_CP103067.1_3539419-3551232:._7	NZ_CP103067.1_3539419-3551232:._6	-1	49
NZ_CP146522.1_25	NZ_CP146522.1_14016-24608:._9	NZ_CP146522.1_14016-24608:._10	1	12
NZ_CP125988.1_31	NZ_CP125988.1_20809-31371:._9	NZ_CP125988.1_20809-31371:._10	1	56
NZ_CP072342.1_349	NZ_CP072342.1_391022-401398:._6	NZ_CP072342.1_391022-401398:._7	1	-3
NZ_CP130738.1_396	NZ_CP130738.1_353416-363531:._7	NZ_CP130738.1_353416-363531:._6	-1	-37
NZ_CP033918.1_3009	NZ_CP033918.1_3313892-3324232:._8	NZ_CP033918.1_3313892-3324232:._7	-1	-58
NZ_CP083624.1_5	NZ_CP083624.1_1-6607:._5	NZ_CP083624.1_1-6607:._6	1	-39
NZ_CP089538.1_2080	NZ_CP089538.1_2526952-2537580:._5	NZ_CP089538.1_2526952-2537580:._4	-1	11
NZ_CP089538.1_2137	NZ_CP089538.1_2571047-2581738:._6	NZ_CP089538.1_2571047-2581738:._7	1	30
NZ_CP089538.1_2188	NZ_CP089538.1_2617236-2627807:._4	NZ_CP089538.1_2617236-2627807:._5	1	36
NC_013730.1_3615	NC_013730.1_4412465-4423030:._9	NC_013730.1_4412465-4423030:._8	-1	64
NC_010830.1_96	NC_010830.1_107438-117994:._5	NC_010830.1_107438-117994:._6	1	57
NZ_CP030854.1_24	NZ_CP030854.1_26986-37599:._5	NZ_CP030854.1_26986-37599:._4	-1	19
NZ_JBQSUP010000001.1_8	NZ_JBQSUP010000001.1_5071-14507:._6	NZ_JBQSUP010000001.1_5071-14507:._7	1	42
NZ_CP015066.2_2815	NZ_CP015066.2_3107290-3117846:._5	NZ_CP015066.2_3107290-3117846:._6	1	78
NZ_CP023642.1_3893	NZ_CP023642.1_4512811-4523433:._10	NZ_CP023642.1_4512811-4523433:._11	1	90
NZ_CP103375.1_2742	NZ_CP103375.1_3502053-3512636:._7	NZ_CP103375.1_3502053-3512636:._6	-1	19
NZ_CP059973.1_2285	NZ_CP059973.1_3139427-3151240:._5	NZ_CP059973.1_3139427-3151240:._4	-1	49
NZ_CP029145.1_1026	NZ_CP029145.1_1157964-1168115:._9	NZ_CP029145.1_1157964-1168115:._8	-1	43
NZ_CP075682.1_3067	NZ_CP075682.1_3356240-3366844:._9	NZ_CP075682.1_3356240-3366844:._8	-1	12
