downstream_orf	blast_hit_id	contig	orf_start	orf_stop	strand	nearest_defense_gene	nearest_defense_type	nearest_distance_bp	defense_genes_in_window	proximity_score	density_score	defense_score	interpro_domains
NZ_CP119767.1_283609-294213:._6	NZ_CP119767.1_274	NZ_CP119767.1_283609-294213	4040	4921	-1	none	none	0	0	0.0	0.0	0.0	IPR043733
NZ_CP110973.1_5928283-5938851:._5	NZ_CP110973.1_4698	NZ_CP110973.1_5928283-5938851	5575	5982	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP143637.1_1427192-1437565:._5	NZ_CP143637.1_1326	NZ_CP143637.1_1427192-1437565	4798	5034	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP015068.2_3107290-3117846:._6	NZ_CP015068.2_2812	NZ_CP015068.2_3107290-3117846	5635	6531	1	none	none	0	0	0.0	0.0	0.0	IPR007560
NZ_CP060787.1_1-8437:._4	NZ_CP060787.1_5	NZ_CP060787.1_1-8437	2827	3186	-1	none	none	0	0	0.0	0.0	0.0	IPR006119
NZ_CP180265.1_3933061-3943665:._7	NZ_CP180265.1_3463	NZ_CP180265.1_3933061-3943665	5660	6394	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP064939.1_4395415-4405641:._5	NZ_CP064939.1_3711	NZ_CP064939.1_4395415-4405641	4625	4990	-1	none	none	0	0	0.0	0.0	0.0	IPR006119
NZ_CM148639.1_2178787-2189382:._7	NZ_CM148639.1_2048	NZ_CM148639.1_2178787-2189382	5676	6671	1	NZ_CM148639.1_2178787-2189382:._9	Lamassu-Fam	1376	12	0.5026	1.0	0.7015	IPR014914
NZ_CM148639.1_2745888-2756492:._9	NZ_CM148639.1_2592	NZ_CM148639.1_2745888-2756492	4829	4960	-1	NZ_CM148639.1_2745888-2756492:._13	PrrC	1850	4	0.3965	0.4	0.3979	
NZ_CP060497.1_5609736-5620304:._5	NZ_CP060497.1_4791	NZ_CP060497.1_5609736-5620304	4042	4968	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP056032.1_1770823-1781409:._7	NZ_CP056032.1_1479	NZ_CP056032.1_1770823-1781409	5608	6276	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP056032.1_3024565-3035151:._5	NZ_CP056032.1_2456	NZ_CP056032.1_3024565-3035151	5589	6530	1	none	none	0	0	0.0	0.0	0.0	IPR017642
NZ_CP037428.1_20809-31371:._10	NZ_CP037428.1_31	NZ_CP037428.1_20809-31371	5619	6008	1	NZ_CP037428.1_20809-31371:._12	PrrC	1055	1	0.5901	0.1	0.394	
NC_018743.1_17897-28507:._6	NC_018743.1_18	NC_018743.1_17897-28507	5623	6435	1	none	none	0	0	0.0	0.0	0.0	IPR003812
NZ_CP033929.1_1742755-1753359:._5	NZ_CP033929.1_1645	NZ_CP033929.1_1742755-1753359	4054	4929	-1	NZ_CP033929.1_1742755-1753359:._9	Anti_RM	1847	2	0.3971	0.2	0.3183	
NC_014230.1_965027-975640:._9	NC_014230.1_846	NC_014230.1_965027-975640	4458	5003	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP050063.1_5052396-5062973:._4	NZ_CP050063.1_4011	NZ_CP050063.1_5052396-5062973	3224	4975	-1	NZ_CP050063.1_5052396-5062973:._4	Paris	0	1	1.0	0.1	0.64	IPR003959
NZ_CP050063.1_6370496-6381115:._6	NZ_CP050063.1_5039	NZ_CP050063.1_6370496-6381115	3312	4967	-1	none	none	0	0	0.0	0.0	0.0	IPR011646
NC_015144.1_2100312-2110919:._6	NC_015144.1_1990	NC_015144.1_2100312-2110919	5659	6261	1	NC_015144.1_2100312-2110919:._6	SanaTA	0	5	1.0	0.5	0.8	IPR045738
NZ_CP159476.1_3963034-3973641:._7	NZ_CP159476.1_3559	NZ_CP159476.1_3963034-3973641	5645	6346	1	none	none	0	0	0.0	0.0	0.0	
NZ_OZ257252.1_3003352-3013911:._6	NZ_OZ257252.1_2600	NZ_OZ257252.1_3003352-3013911	5566	6771	1	none	none	0	0	0.0	0.0	0.0	IPR003386
NZ_CP065589.1_4744455-4755017:._8	NZ_CP065589.1_4697	NZ_CP065589.1_4744455-4755017	5623	6459	1	NZ_CP065589.1_4744455-4755017:._8	RM	0	1	1.0	0.1	0.64	IPR012327
NZ_CP073240.1_22748-33310:._7	NZ_CP073240.1_28	NZ_CP073240.1_22748-33310	5605	5907	1	NZ_CP073240.1_22748-33310:._8	Retron	0	6	1.0	0.6	0.84	
NZ_CP111121.1_4947174-4957778:._5	NZ_CP111121.1_4688	NZ_CP111121.1_4947174-4957778	5676	6410	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP133672.1_35799-46355:._4	NZ_CP133672.1_29	NZ_CP133672.1_35799-46355	4078	4938	-1	none	none	0	0	0.0	0.0	0.0	IPR018004
NZ_CP072364.1_68924-79300:._8	NZ_CP072364.1_55	NZ_CP072364.1_68924-79300	5374	5637	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP114285.2_2034346-2044935:._9	NZ_CP114285.2_1622	NZ_CP114285.2_2034346-2044935	5636	6928	1	NZ_CP114285.2_2034346-2044935:._9	AbiH	0	1	1.0	0.1	0.64	IPR025935
NZ_CP072214.1_51842-62437:._6	NZ_CP072214.1_65	NZ_CP072214.1_51842-62437	1648	1854	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP152355.1_5086-14492:._6	NZ_CP152355.1_11	NZ_CP152355.1_5086-14492	5037	6104	1	none	none	0	0	0.0	0.0	0.0	IPR003812
NZ_CP125998.1_20809-31371:._10	NZ_CP125998.1_31	NZ_CP125998.1_20809-31371	5619	6008	1	NZ_CP125998.1_20809-31371:._12	PrrC	1055	1	0.5901	0.1	0.394	
NZ_CP147519.1_306556-317139:._5	NZ_CP147519.1_246	NZ_CP147519.1_306556-317139	4173	5003	-1	none	none	0	0	0.0	0.0	0.0	IPR012912
NZ_CP015067.2_3107290-3117846:._6	NZ_CP015067.2_2811	NZ_CP015067.2_3107290-3117846	5635	6531	1	none	none	0	0	0.0	0.0	0.0	IPR007560
NZ_CP192719.1_483286-494961:._6	NZ_CP192719.1_422	NZ_CP192719.1_483286-494961	6736	7752	1	NZ_CP192719.1_483286-494961:._5	Lamassu-Fam	60	4	0.9704	0.4	0.7423	
NZ_CP146517.1_1634569-1644945:._6	NZ_CP146517.1_1449	NZ_CP146517.1_1634569-1644945	5374	5637	1	none	none	0	0	0.0	0.0	0.0	IPR006120
NZ_CP116008.1_388998-399602:._9	NZ_CP116008.1_362	NZ_CP116008.1_388998-399602	4301	4924	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP104203.1_3298143-3308708:._6	NZ_CP104203.1_3094	NZ_CP104203.1_3298143-3308708	5585	8683	1	none	none	0	0	0.0	0.0	0.0	IPR039444
NZ_CP118631.1_4648428-4659014:._6	NZ_CP118631.1_3908	NZ_CP118631.1_4648428-4659014	4650	4994	-1	NZ_CP118631.1_4648428-4659014:._8	PrrC	874	10	0.646	1.0	0.7876	
NZ_CP066883.1_3742481-3753091:._7	NZ_CP066883.1_3499	NZ_CP066883.1_3742481-3753091	5631	5864	1	none	none	0	0	0.0	0.0	0.0	IPR013406
NZ_CP115859.1_474741-485300:._7	NZ_CP115859.1_449	NZ_CP115859.1_474741-485300	5571	5816	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP006587.1_4827107-4837720:._6	NZ_CP006587.1_4143	NZ_CP006587.1_4827107-4837720	5670	6788	1	none	none	0	0	0.0	0.0	0.0	IPR003812;IPR025230
NZ_CP014805.2_3107290-3117846:._6	NZ_CP014805.2_2812	NZ_CP014805.2_3107290-3117846	5635	6531	1	none	none	0	0	0.0	0.0	0.0	IPR007560
NZ_CP012937.1_5202558-5214371:._9	NZ_CP012937.1_4153	NZ_CP012937.1_5202558-5214371	6863	7717	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP123860.1_6049507-6060096:._10	NZ_CP123860.1_5187	NZ_CP123860.1_6049507-6060096	5602	5793	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP103067.1_3539419-3551232:._6	NZ_CP103067.1_3024	NZ_CP103067.1_3539419-3551232	4097	4951	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP146522.1_14016-24608:._10	NZ_CP146522.1_25	NZ_CP146522.1_14016-24608	5605	6696	1	none	none	0	0	0.0	0.0	0.0	IPR003812
NZ_CP125988.1_20809-31371:._10	NZ_CP125988.1_31	NZ_CP125988.1_20809-31371	5619	6008	1	NZ_CP125988.1_20809-31371:._12	PrrC	1055	1	0.5901	0.1	0.394	
NZ_CP072342.1_391022-401398:._7	NZ_CP072342.1_349	NZ_CP072342.1_391022-401398	5374	5637	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP130738.1_353416-363531:._6	NZ_CP130738.1_396	NZ_CP130738.1_353416-363531	4552	5037	-1	none	none	0	0	0.0	0.0	0.0	IPR006119
NZ_CP033918.1_3313892-3324232:._7	NZ_CP033918.1_3009	NZ_CP033918.1_3313892-3324232	4789	5058	-1	NZ_CP033918.1_3313892-3324232:._5	Lamassu-Fam	358	18	0.8361	1.0	0.9017	IPR006119;IPR006120
NZ_CP083624.1_1-6607:._6	NZ_CP083624.1_5	NZ_CP083624.1_1-6607	1568	1777	1	NZ_CP083624.1_1-6607:._8	Anti_RM	589	1	0.7449	0.1	0.4869	IPR006119
NZ_CP089538.1_2526952-2537580:._4	NZ_CP089538.1_2080	NZ_CP089538.1_2526952-2537580	3886	4989	-1	none	none	0	0	0.0	0.0	0.0	IPR039444
NZ_CP089538.1_2571047-2581738:._7	NZ_CP089538.1_2137	NZ_CP089538.1_2571047-2581738	5722	6540	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP089538.1_2617236-2627807:._5	NZ_CP089538.1_2188	NZ_CP089538.1_2617236-2627807	5608	6414	1	none	none	0	0	0.0	0.0	0.0	
NC_013730.1_4412465-4423030:._8	NC_013730.1_3615	NC_013730.1_4412465-4423030	4397	4936	-1	none	none	0	0	0.0	0.0	0.0	
NC_010830.1_107438-117994:._6	NC_010830.1_96	NC_010830.1_107438-117994	5614	6378	1	none	none	0	0	0.0	0.0	0.0	IPR012429
NZ_CP030854.1_26986-37599:._4	NZ_CP030854.1_24	NZ_CP030854.1_26986-37599	4073	4981	-1	none	none	0	0	0.0	0.0	0.0	IPR013196;IPR026881
NZ_JBQSUP010000001.1_5071-14507:._7	NZ_JBQSUP010000001.1_8	NZ_JBQSUP010000001.1_5071-14507	5042	5344	1	NZ_JBQSUP010000001.1_5071-14507:._8	Retron	0	11	1.0	1.0	1.0	
NZ_CP015066.2_3107290-3117846:._6	NZ_CP015066.2_2815	NZ_CP015066.2_3107290-3117846	5635	6531	1	none	none	0	0	0.0	0.0	0.0	IPR007560
NZ_CP023642.1_4512811-4523433:._11	NZ_CP023642.1_3893	NZ_CP023642.1_4512811-4523433	5713	6573	1	none	none	0	0	0.0	0.0	0.0	IPR049503
NZ_CP103375.1_3502053-3512636:._6	NZ_CP103375.1_2742	NZ_CP103375.1_3502053-3512636	4655	4981	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP059973.1_3139427-3151240:._4	NZ_CP059973.1_2285	NZ_CP059973.1_3139427-3151240	4097	4951	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP029145.1_1157964-1168115:._8	NZ_CP029145.1_1026	NZ_CP029145.1_1157964-1168115	4448	4957	-1	none	none	0	0	0.0	0.0	0.0	IPR006119
NZ_CP075682.1_3356240-3366844:._8	NZ_CP075682.1_3067	NZ_CP075682.1_3356240-3366844	4770	4988	-1	none	none	0	0	0.0	0.0	0.0	
