hit_id	replicon	gene_name	i_eval	score	profile_cov	seq_cov	begin_match	end_match
NZ_CP039929.1_1273645-1284252:._8	all_contigs	RM__Type_I_REases_FAM_0.einsi_trimmed	1.6e-143	477.800	0.445	0.472	2	474
NZ_CP118631.1_4648428-4659014:._8	all_contigs	RM__Type_I_REases_FAM_2.einsi_trimmed	3.2e-200	665.200	0.976	0.992	5	929
NZ_CP110003.1_1-5567:._4	all_contigs	RM__Type_I_S_01	2e-60	202.500	0.588	0.987	1	388
NZ_CP092371.1_10906-21471:._2	all_contigs	RM__Type_I_S_01	2e-60	202.500	0.588	0.987	1	388
NZ_CP118631.1_4648428-4659014:._9	all_contigs	RM__Type_I_S_01	5.1e-68	227.600	0.788	0.963	5	603
NZ_CP171010.1_321704-332272:._2	all_contigs	RM__Type_I_S_06	1.9e-64	215.900	0.739	0.990	3	411
NZ_CM148647.1_2723775-2734409:._7	all_contigs	RM__Type_I_S_51	8.7e-25	84.600	0.360	0.911	7	179
NZ_CM148647.1_2723775-2734409:._11	all_contigs	RM__Type_I_S_51	1.8e-42	142.900	0.466	0.916	7	225
NZ_CP172273.1_2772056-2782690:._7	all_contigs	RM__Type_I_S_51	8.7e-25	84.600	0.360	0.911	7	179
NZ_CP172273.1_2772056-2782690:._11	all_contigs	RM__Type_I_S_51	1.8e-42	142.900	0.466	0.916	7	225
NZ_CM148639.1_2745888-2756492:._13	all_contigs	RM__Type_I_S_51	8.7e-25	84.600	0.360	0.911	7	179
NZ_CP119422.1_4788955-4799508:._10	all_contigs	RM__Type_I_S_51	9.5e-93	308.700	0.834	0.979	8	429
NZ_CP054141.1_36662-47269:._11	all_contigs	RM__Type_I_S_52	5.7e-37	125.300	0.587	0.809	62	446
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP171010.1_321704-332272:._5	all_contigs	RM__Type_I_MTases_FAM_0	1.7e-173	575.700	0.990	0.982	7	558
NZ_CM148647.1_2723775-2734409:._8	all_contigs	RM__Type_I_MTases_FAM_0	1.5e-167	556.100	0.996	0.996	1	508
NZ_CP087585.1_3158408-3169009:._1	all_contigs	RM__Type_I_MTases_FAM_0	4.9e-123	409.300	0.715	1.000	1	382
NZ_CP172273.1_2772056-2782690:._8	all_contigs	RM__Type_I_MTases_FAM_0	1.5e-167	556.100	0.996	0.996	1	508
NZ_CM148639.1_2745888-2756492:._14	all_contigs	RM__Type_I_MTases_FAM_0	1.5e-167	556.100	0.996	0.996	1	508
NZ_CP119422.1_4788955-4799508:._9	all_contigs	RM__Type_I_MTases_FAM_0	3.9e-145	482.200	0.842	0.943	52	963
NZ_CP110003.1_1-5567:._5	all_contigs	RM__Type_I_REases_FAM_0.einsi_trimmed	3.9e-144	479.800	0.399	0.933	30	436
NZ_CP092371.1_10906-21471:._1	all_contigs	RM__Type_I_REases_FAM_0.einsi_trimmed	3.9e-144	479.800	0.399	0.933	30	436
NZ_CP039929.1_1273645-1284252:._8	all_contigs	RM__Type_I_REases_FAM_0.einsi_trimmed	1.6e-143	477.800	0.445	0.472	2	474
NZ_CP118631.1_4648428-4659014:._8	all_contigs	RM__Type_I_REases_FAM_2.einsi_trimmed	3.2e-200	665.200	0.976	0.992	5	929
NZ_CP110003.1_1-5567:._4	all_contigs	RM__Type_I_S_01	2e-60	202.500	0.588	0.987	1	388
NZ_CP092371.1_10906-21471:._2	all_contigs	RM__Type_I_S_01	2e-60	202.500	0.588	0.987	1	388
NZ_CP118631.1_4648428-4659014:._9	all_contigs	RM__Type_I_S_01	5.1e-68	227.600	0.788	0.963	5	603
NZ_CP171010.1_321704-332272:._2	all_contigs	RM__Type_I_S_06	1.9e-64	215.900	0.739	0.990	3	411
NZ_CM148647.1_2723775-2734409:._7	all_contigs	RM__Type_I_S_51	8.7e-25	84.600	0.360	0.911	7	179
NZ_CM148647.1_2723775-2734409:._11	all_contigs	RM__Type_I_S_51	1.8e-42	142.900	0.466	0.916	7	225
NZ_CP172273.1_2772056-2782690:._7	all_contigs	RM__Type_I_S_51	8.7e-25	84.600	0.360	0.911	7	179
NZ_CP172273.1_2772056-2782690:._11	all_contigs	RM__Type_I_S_51	1.8e-42	142.900	0.466	0.916	7	225
NZ_CM148639.1_2745888-2756492:._13	all_contigs	RM__Type_I_S_51	8.7e-25	84.600	0.360	0.911	7	179
NZ_CP119422.1_4788955-4799508:._10	all_contigs	RM__Type_I_S_51	9.5e-93	308.700	0.834	0.979	8	429
NZ_CP054141.1_36662-47269:._11	all_contigs	RM__Type_I_S_52	5.7e-37	125.300	0.587	0.809	62	446
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP087585.1_3158408-3169009:._7	all_contigs	Menshen__NsnA	9.5e-111	368.200	0.919	0.951	15	364
NZ_CP087585.1_3158408-3169009:._8	all_contigs	Menshen__NsnB	4.2e-84	280.700	0.881	0.983	1	338
NZ_CP171010.1_321704-332272:._3	all_contigs	Menshen__NsnC_2512525018	5e-05	20.500	0.773	0.606	73	247
NZ_CP036540.1_72561-83153:._5	all_contigs	Menshen__NsnC_2512525018	0.00092	16.400	0.814	0.661	64	256
NZ_CP036547.1_5524-14930:._7	all_contigs	Menshen__NsnC_2512525018	0.00092	16.400	0.814	0.661	64	256
NZ_CP087585.1_3158408-3169009:._9	all_contigs	Menshen__NsnC_2635923458	4e-78	260.200	1.000	0.997	1	301
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP033913.1_24170-34774:._8	all_contigs	Gabija__GajA	4.6e-89	297.400	0.828	0.840	1	505
NZ_CP033916.1_37049-47653:._2	all_contigs	Gabija__GajA	4.6e-89	297.400	0.828	0.840	1	505
NZ_CP033913.1_24170-34774:._7	all_contigs	Gabija__GajB_2	5.9e-50	168.000	0.737	0.931	24	619
NZ_CP033916.1_37049-47653:._3	all_contigs	Gabija__GajB_2	5.9e-50	168.000	0.737	0.931	24	619
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NC_015160.1_3554654-3565171:._8	all_contigs	Veles__VlsA1	1.9e-50	169.300	0.993	0.761	4	309
NZ_LT906459.1_3554432-3565048:._9	all_contigs	Veles__VlsA1	1.9e-50	169.300	0.993	0.761	4	309
NC_015160.1_3554654-3565171:._7	all_contigs	Veles__VlsB2	1.6e-129	429.800	0.938	0.984	4	368
NZ_LT906459.1_3554432-3565048:._8	all_contigs	Veles__VlsB2	1.6e-129	429.800	0.938	0.984	4	368
NZ_CP081299.1_1785944-1796431:._5	all_contigs	Veles__VlsC2	2e-16	58.000	0.557	0.572	4	82
NZ_CP081299.1_7408552-7419153:._11	all_contigs	Veles__VlsC2	9.1e-16	55.900	0.564	0.576	4	83
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP104875.1_2250589-2261184:._9	all_contigs	DS-1__DS-1A	1.6e-34	117.000	0.782	0.823	44	331
NZ_CP071547.1_2251581-2262176:._9	all_contigs	DS-1__DS-1A	1.6e-34	117.000	0.782	0.823	44	331
NZ_CM148636.1_2123055-2133650:._9	all_contigs	DS-1__DS-1A	1.1e-34	117.600	0.782	0.823	44	331
NZ_CP104875.1_2250589-2261184:._8	all_contigs	DS-1__DS-1B	2.1e-70	235.400	0.990	0.962	1	382
NZ_CP071547.1_2251581-2262176:._8	all_contigs	DS-1__DS-1B	2.1e-70	235.400	0.990	0.962	1	382
NZ_CM148636.1_2123055-2133650:._8	all_contigs	DS-1__DS-1B	1.2e-67	226.300	0.978	0.957	3	382
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP104875.1_2250589-2261184:._10	all_contigs	AbiZ__AbiZ	6.6e-39	131.900	0.951	0.932	22	417
NZ_CP071547.1_2251581-2262176:._10	all_contigs	AbiZ__AbiZ	6.6e-39	131.900	0.951	0.932	22	417
NZ_CM148636.1_2123055-2133650:._10	all_contigs	AbiZ__AbiZ	1.1e-36	124.500	0.948	0.929	23	417
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CM148643.1_3210785-3221380:._1	all_contigs	CBASS__Cyclase_II	3e-49	165.500	0.911	0.871	9	371
NZ_CM148673.1_2105830-2116425:._12	all_contigs	CBASS__Cyclase_II	5e-49	164.800	0.911	0.871	9	371
NZ_CM148634.1_2194474-2205048:._12	all_contigs	CBASS__Cyclase_II	6.9e-48	161.000	0.864	0.788	15	323
NZ_CP034173.1_1138126-1148700:._6	all_contigs	CBASS__Cyclase_II	9.5e-61	203.300	0.973	0.962	1	303
NZ_CM148644.1_2122378-2132973:._6	all_contigs	CBASS__Cyclase_II	4.4e-17	59.800	0.902	0.970	9	327
NZ_CP016374.1_1840671-1851227:._9	all_contigs	CBASS__Cyclase_II	1.2e-60	203.000	0.979	0.968	1	305
NZ_CP022986.1_896566-907170:._6	all_contigs	CBASS__Cyclase_SMODS	3.5e-45	151.700	0.976	0.368	1	160
NZ_CP118631.1_4648428-4659014:._2	all_contigs	CBASS__2TM_5	3.9e-28	95.700	0.954	0.971	4	171
NZ_CP022986.1_896566-907170:._5	all_contigs	CBASS__2TM_Gros	2.8e-42	143.000	0.755	0.968	5	184
NZ_CM148634.1_2194474-2205048:._11	all_contigs	CBASS__Effector_2TM_Sa_NUDIX	6.1e-66	219.600	0.995	0.804	45	249
NZ_CM148644.1_2122378-2132973:._9	all_contigs	CBASS__Effector_2TM_Sa_NUDIX	3.2e-65	217.300	0.990	0.726	67	265
NZ_CP034173.1_1138126-1148700:._7	all_contigs	CBASS__Phospholipase	3.2e-88	293.700	0.933	0.991	1	333
NZ_CP016374.1_1840671-1851227:._10	all_contigs	CBASS__Phospholipase	2e-87	291.100	0.933	0.991	1	333
NZ_CM148643.1_3210785-3221380:._4	all_contigs	CBASS__Sensing_SAVED	1.4e-42	143.300	0.995	0.504	183	372
NZ_CM148673.1_2105830-2116425:._9	all_contigs	CBASS__Sensing_SAVED	1.4e-42	143.300	0.995	0.504	183	372
NZ_CP033918.1_3313892-3324232:._10	all_contigs	CBASS__AG_E1_ThiF	3.3e-40	135.600	0.934	0.634	119	354
NZ_CP033918.1_3313892-3324232:._11	all_contigs	CBASS__AG_E1_ThiF	9.2e-31	104.600	0.639	0.439	122	284
NZ_AP029022.1_2742988-2753550:._5	all_contigs	CBASS__AG_E1_ThiF	6e-15	52.900	0.525	0.329	174	300
NZ_CM148643.1_3210785-3221380:._2	all_contigs	CBASS__E2	7.6e-38	127.900	0.801	0.954	3	147
NZ_CM148673.1_2105830-2116425:._11	all_contigs	CBASS__E2	7.8e-38	127.800	0.801	0.954	3	147
NZ_CM148634.1_2194474-2205048:._13	all_contigs	CBASS__E2	2.3e-22	77.500	0.795	0.900	13	147
NZ_CP034173.1_1138126-1148700:._5	all_contigs	CBASS__E2_II	4.7e-60	200.300	0.912	0.920	1	196
NZ_CP016374.1_1840671-1851227:._8	all_contigs	CBASS__E2_II	2e-56	188.400	0.907	0.903	1	195
NZ_CM148644.1_2122378-2132973:._8	all_contigs	CBASS__TRIP13	2e-96	320.400	0.974	0.990	2	293
NZ_CM148644.1_2122378-2132973:._7	all_contigs	CBASS__bacHORMA_1	7.6e-50	166.700	1.000	0.994	1	169
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP118631.1_4648428-4659014:._2	all_contigs	CBASS__2TM_5	3.9e-28	95.700	0.954	0.971	4	171
NZ_CP022986.1_896566-907170:._5	all_contigs	CBASS__2TM_Gros	2.8e-42	143.000	0.755	0.968	5	184
NZ_CM148643.1_3210785-3221380:._1	all_contigs	CBASS__Cyclase_II	3e-49	165.500	0.911	0.871	9	371
NZ_CM148673.1_2105830-2116425:._12	all_contigs	CBASS__Cyclase_II	5e-49	164.800	0.911	0.871	9	371
NZ_CM148634.1_2194474-2205048:._12	all_contigs	CBASS__Cyclase_II	6.9e-48	161.000	0.864	0.788	15	323
NZ_CP034173.1_1138126-1148700:._6	all_contigs	CBASS__Cyclase_II	9.5e-61	203.300	0.973	0.962	1	303
NZ_CM148644.1_2122378-2132973:._6	all_contigs	CBASS__Cyclase_II	4.4e-17	59.800	0.902	0.970	9	327
NZ_CP016374.1_1840671-1851227:._9	all_contigs	CBASS__Cyclase_II	1.2e-60	203.000	0.979	0.968	1	305
NZ_CP022986.1_896566-907170:._6	all_contigs	CBASS__Cyclase_SMODS	3.5e-45	151.700	0.976	0.368	1	160
NZ_CM148634.1_2194474-2205048:._11	all_contigs	CBASS__Effector_2TM_Sa_NUDIX	6.1e-66	219.600	0.995	0.804	45	249
NZ_CM148644.1_2122378-2132973:._9	all_contigs	CBASS__Effector_2TM_Sa_NUDIX	3.2e-65	217.300	0.990	0.726	67	265
NZ_CP034173.1_1138126-1148700:._7	all_contigs	CBASS__Phospholipase	3.2e-88	293.700	0.933	0.991	1	333
NZ_CP016374.1_1840671-1851227:._10	all_contigs	CBASS__Phospholipase	2e-87	291.100	0.933	0.991	1	333
NZ_CM148643.1_3210785-3221380:._4	all_contigs	CBASS__Sensing_SAVED	1.4e-42	143.300	0.995	0.504	183	372
NZ_CM148673.1_2105830-2116425:._9	all_contigs	CBASS__Sensing_SAVED	1.4e-42	143.300	0.995	0.504	183	372
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP118631.1_4648428-4659014:._2	all_contigs	CBASS__2TM_5	3.9e-28	95.700	0.954	0.971	4	171
NZ_CP022986.1_896566-907170:._5	all_contigs	CBASS__2TM_Gros	2.8e-42	143.000	0.755	0.968	5	184
NZ_CP033918.1_3313892-3324232:._10	all_contigs	CBASS__AG_E1_ThiF	3.3e-40	135.600	0.934	0.634	119	354
NZ_CP033918.1_3313892-3324232:._11	all_contigs	CBASS__AG_E1_ThiF	9.2e-31	104.600	0.639	0.439	122	284
NZ_AP029022.1_2742988-2753550:._5	all_contigs	CBASS__AG_E1_ThiF	6e-15	52.900	0.525	0.329	174	300
NZ_CM148643.1_3210785-3221380:._1	all_contigs	CBASS__Cyclase_II	3e-49	165.500	0.911	0.871	9	371
NZ_CM148673.1_2105830-2116425:._12	all_contigs	CBASS__Cyclase_II	5e-49	164.800	0.911	0.871	9	371
NZ_CM148634.1_2194474-2205048:._12	all_contigs	CBASS__Cyclase_II	6.9e-48	161.000	0.864	0.788	15	323
NZ_CP034173.1_1138126-1148700:._6	all_contigs	CBASS__Cyclase_II	9.5e-61	203.300	0.973	0.962	1	303
NZ_CM148644.1_2122378-2132973:._6	all_contigs	CBASS__Cyclase_II	4.4e-17	59.800	0.902	0.970	9	327
NZ_CP016374.1_1840671-1851227:._9	all_contigs	CBASS__Cyclase_II	1.2e-60	203.000	0.979	0.968	1	305
NZ_CP022986.1_896566-907170:._6	all_contigs	CBASS__Cyclase_SMODS	3.5e-45	151.700	0.976	0.368	1	160
NZ_CM148643.1_3210785-3221380:._2	all_contigs	CBASS__E2	7.6e-38	127.900	0.801	0.954	3	147
NZ_CM148673.1_2105830-2116425:._11	all_contigs	CBASS__E2	7.8e-38	127.800	0.801	0.954	3	147
NZ_CM148634.1_2194474-2205048:._13	all_contigs	CBASS__E2	2.3e-22	77.500	0.795	0.900	13	147
NZ_CP034173.1_1138126-1148700:._5	all_contigs	CBASS__E2_II	4.7e-60	200.300	0.912	0.920	1	196
NZ_CP016374.1_1840671-1851227:._8	all_contigs	CBASS__E2_II	2e-56	188.400	0.907	0.903	1	195
NZ_CM148634.1_2194474-2205048:._11	all_contigs	CBASS__Effector_2TM_Sa_NUDIX	6.1e-66	219.600	0.995	0.804	45	249
NZ_CM148644.1_2122378-2132973:._9	all_contigs	CBASS__Effector_2TM_Sa_NUDIX	3.2e-65	217.300	0.990	0.726	67	265
NZ_CP034173.1_1138126-1148700:._7	all_contigs	CBASS__Phospholipase	3.2e-88	293.700	0.933	0.991	1	333
NZ_CP016374.1_1840671-1851227:._10	all_contigs	CBASS__Phospholipase	2e-87	291.100	0.933	0.991	1	333
NZ_CM148643.1_3210785-3221380:._4	all_contigs	CBASS__Sensing_SAVED	1.4e-42	143.300	0.995	0.504	183	372
NZ_CM148673.1_2105830-2116425:._9	all_contigs	CBASS__Sensing_SAVED	1.4e-42	143.300	0.995	0.504	183	372
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP118631.1_4648428-4659014:._2	all_contigs	CBASS__2TM_5	3.9e-28	95.700	0.954	0.971	4	171
NZ_CP022986.1_896566-907170:._5	all_contigs	CBASS__2TM_Gros	2.8e-42	143.000	0.755	0.968	5	184
NZ_CM148643.1_3210785-3221380:._1	all_contigs	CBASS__Cyclase_II	3e-49	165.500	0.911	0.871	9	371
NZ_CM148673.1_2105830-2116425:._12	all_contigs	CBASS__Cyclase_II	5e-49	164.800	0.911	0.871	9	371
NZ_CM148634.1_2194474-2205048:._12	all_contigs	CBASS__Cyclase_II	6.9e-48	161.000	0.864	0.788	15	323
NZ_CP034173.1_1138126-1148700:._6	all_contigs	CBASS__Cyclase_II	9.5e-61	203.300	0.973	0.962	1	303
NZ_CM148644.1_2122378-2132973:._6	all_contigs	CBASS__Cyclase_II	4.4e-17	59.800	0.902	0.970	9	327
NZ_CP016374.1_1840671-1851227:._9	all_contigs	CBASS__Cyclase_II	1.2e-60	203.000	0.979	0.968	1	305
NZ_CP022986.1_896566-907170:._6	all_contigs	CBASS__Cyclase_SMODS	3.5e-45	151.700	0.976	0.368	1	160
NZ_CM148634.1_2194474-2205048:._11	all_contigs	CBASS__Effector_2TM_Sa_NUDIX	6.1e-66	219.600	0.995	0.804	45	249
NZ_CM148644.1_2122378-2132973:._9	all_contigs	CBASS__Effector_2TM_Sa_NUDIX	3.2e-65	217.300	0.990	0.726	67	265
NZ_CP034173.1_1138126-1148700:._7	all_contigs	CBASS__Phospholipase	3.2e-88	293.700	0.933	0.991	1	333
NZ_CP016374.1_1840671-1851227:._10	all_contigs	CBASS__Phospholipase	2e-87	291.100	0.933	0.991	1	333
NZ_CM148643.1_3210785-3221380:._4	all_contigs	CBASS__Sensing_SAVED	1.4e-42	143.300	0.995	0.504	183	372
NZ_CM148673.1_2105830-2116425:._9	all_contigs	CBASS__Sensing_SAVED	1.4e-42	143.300	0.995	0.504	183	372
NZ_CM148644.1_2122378-2132973:._8	all_contigs	CBASS__TRIP13	2e-96	320.400	0.974	0.990	2	293
NZ_CM148644.1_2122378-2132973:._7	all_contigs	CBASS__bacHORMA_1	7.6e-50	166.700	1.000	0.994	1	169
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP118631.1_4648428-4659014:._1	all_contigs	Pycsar__AG_cyclase	6.2e-27	92.200	0.388	0.814	32	171
NZ_CP118631.1_4648428-4659014:._2	all_contigs	CBASS__2TM_5	3.9e-28	95.700	0.954	0.971	4	171
NZ_CP022986.1_896566-907170:._5	all_contigs	CBASS__2TM_Gros	2.8e-42	143.000	0.755	0.968	5	184
